steal_chunk   time_sec
1           0.328780  
2           0.335077  
3           0.328287  
4           0.332899  
5           0.341805  
6           0.349686  
7           0.343556  
8           0.342275  
9           0.348884  
10          0.343015  
11          0.357353  
12          0.366080  
13          0.366224  
14          0.367228  
15          0.351091  
16          0.350018  
